"1","AMAZONAS","01"
"2","ANCASH","02"
"3","APURIMAC","03"
"4","AREQUIPA","04"
"5","AYACUCHO","05"
"6","CAJAMARCA","06"
"7","PROV.CONST. DEL CALLAO","07"
"8","CUSCO","08"
"9","HUANCAVELICA","09"
"10","HUANUCO","10"
"11","ICA","11"
"12","JUNIN","12"
"13","LA LIBERTAD","13"
"14","LAMBAYEQUE","14"
"15","LIMA","15"
"16","LORETO","16"
"17","MADRE DE DIOS","17"
"18","MOQUEGUA","18"
"19","PASCO","19"
"20","PIURA","20"
"21","PUNO","21"
"22","SAN MARTIN","22"
"23","TACNA","23"
"24","TUMBES","24"
"25","UCAYALI","25"
